ingestion_year;ingestion_month;ingestion_day;id_mascara;ctrl_terc;estado_cli;f_vinc;genero_cli;f_nacim_cli;estado_civil;ocup;ingresos
2021;11;30;2892653;EXCLIENTE;INACTIVO;19111111;F;0;NO INFORMA;NULL;0
2021;11;30;9261510;EXCLIENTE;INACTIVO;19990602;M;0;NO INFORMA;NULL;0
2021;11;30;3962612;CLIENTE;INACTIVO;19960926;F;19290105;CASADO;EMPLEADO;1940578
2021;11;30;7702445;CLIENTE;ACTIVO;20180810;M;19561003;SOLTERO;ESTUDIANTE;1080000
2021;11;30;4568114;CLIENTE;ACTIVO;19990423;F;19530302;VIUDO;PENSIONADO;19049685
2021;11;30;2684641;CLIENTE;ACTIVO;20200827;M;19550319;CASADO;PENSIONADO;3116615
2021;11;30;5123631;EXCLIENTE;INACTIVO;19990709;F;0;NO INFORMA;NULL;0
2021;11;30;8590405;EXCLIENTE;INACTIVO;19990625;M;19650315;UNION LIBRE;EMPLEADO;0
2021;11;30;16712522;EXCLIENTE;INACTIVO;19990223;M;19880606;CASADO;NULL;0
2021;11;30;864337;EXCLIENTE;INACTIVO;19990309;M;0;NO INFORMA;NULL;0
2021;11;30;3610811;EXCLIENTE;INACTIVO;19910330;F;0;NO INFORMA;NULL;0
2021;11;30;7366767;CLIENTE;ACTIVO;19990316;F;19601122;CASADO;AMA DE CASA;1169930
2021;11;30;3182164;EXCLIENTE;INACTIVO;19990323;F;19330111;VIUDO;PENSIONADO;332000
2021;11;30;997451;EXCLIENTE;INACTIVO;19991029;M;0;NO INFORMA;NULL;0
2021;11;30;902903;CLIENTE;ACTIVO;19991013;M;19510522;CASADO;PENSIONADO;2375125
2021;11;30;4014328;EXCLIENTE;INACTIVO;19991022;F;0;NO INFORMA;NULL;0
2021;11;30;7785567;CLIENTE;ACTIVO;20160406;M;19650324;CASADO;EMPLEADO;23900000
2021;11;30;2847236;EXCLIENTE;INACTIVO;19991221;F;19930827;NO INFORMA;NULL;0
2021;11;30;7781759;CLIENTE;ACTIVO;19990719;M;19600903;SOLTERO;EMPLEADO;1038720
2021;11;30;1444257;CLIENTE;ACTIVO;20100330;M;19700716;CASADO;EMPLEADO;2118806
2021;11;30;7462329;EXCLIENTE;INACTIVO;19990827;M;0;CASADO;NULL;0
2021;11;30;16628765;EXCLIENTE;INACTIVO;19990902;M;0;SOLTERO;NULL;0
2021;11;30;4788235;EXCLIENTE;INACTIVO;19980827;F;0;VIUDO;NULL;0
2021;11;30;9599717;EXCLIENTE;INACTIVO;19980916;M;19690319;SOLTERO;EMPLEADO;3500000
2021;11;30;2485059;CLIENTE;ACTIVO;20140327;M;19530523;NO INFORMA;PENSIONADO;2730000
2021;11;30;8281364;CLIENTE;ACTIVO;20120911;M;19710214;CASADO;EMPLEADO;1593000
2021;11;30;2080773;CLIENTE;ACTIVO;19910330;M;19750902;SOLTERO;EMPLEADO;1653853
2021;11;30;2025197;CLIENTE;ACTIVO;20201016;M;19630117;CASADO;EMPLEADO;12838140
2021;11;30;7657311;CLIENTE;ACTIVO;19970917;F;19841120;CASADO;EMPLEADO;34303500
2021;11;30;827774;CLIENTE;INACTIVO;19990128;M;19700925;SOLTERO;EMPLEADO;4421760
2021;11;30;241335;EXCLIENTE;INACTIVO;19981020;M;0;UNION LIBRE;NULL;0
2021;11;30;4310656;CLIENTE;ACTIVO;20161118;F;19720815;CASADO;AMA DE CASA;0
2021;11;30;3709910;EXCLIENTE;INACTIVO;19981103;F;0;UNION LIBRE;NULL;0
2021;11;30;5943849;EXCLIENTE;INACTIVO;19740401;F;0;NO INFORMA;NULL;0
2021;11;30;1470508;CLIENTE;ACTIVO;19111111;M;19540123;CASADO;PENSIONADO;2202000
2021;11;30;14633542;CLIENTE;INACTIVO;19971215;M;19940214;SOLTERO;ESTUDIANTE;1038000
2021;11;30;3749914;EXCLIENTE;INACTIVO;19901008;F;0;NO INFORMA;NULL;0
2021;11;30;3760122;CLIENTE;ACTIVO;19820723;F;19440611;VIUDO;PENSIONADO;15364440
2021;11;30;3166921;CLIENTE;ACTIVO;19910330;F;19340511;VIUDO;PENSIONADO;948644
2021;11;30;7617942;CLIENTE;ACTIVO;20190601;F;19710906;CASADO;AMA DE CASA;1884686
2021;11;30;2252390;EXCLIENTE;INACTIVO;19940805;M;19541123;CASADO;INDEPENDIENTE;637000
2021;11;30;4371476;EXCLIENTE;INACTIVO;19890303;F;19590326;CASADO;AMA DE CASA;0
2021;11;30;5190348;EXCLIENTE;INACTIVO;19820122;F;0;NO INFORMA;NULL;0
2021;11;30;5202649;EXCLIENTE;INACTIVO;19950726;F;0;NO INFORMA;NULL;0
2021;11;30;6106105;EXCLIENTE;INACTIVO;19970811;F;19710213;SOLTERO;EMPLEADO;4000000
2021;11;30;8696794;EXCLIENTE;INACTIVO;19960912;M;19711117;SOLTERO;ESTUDIANTE;800000
2021;11;30;2717785;CLIENTE;ACTIVO;19801014;M;19610310;SOLTERO;PENSIONADO;2517465
2021;11;30;5691431;CLIENTE;INACTIVO;20131031;F;19601230;DIVORCIADO;EMPLEADO;2613000
2021;11;30;7182;CLIENTE;INACTIVO;19920522;M;19200715;UNION LIBRE;DESEMPLEADO CON INGRESOS;2600000
2021;11;30;3278548;EXCLIENTE;INACTIVO;19961015;F;0;NO INFORMA;NULL;0
